goos: darwin
goarch: arm64
pkg: github.com/Suhaibinator/open-splunk/internal/collector
cpu: Apple M4 Max
BenchmarkCollectorAllocationCases/logfmt_constants           	  162014	      1534 ns/op	  26.07 MB/s	    1552 B/op	      35 allocs/op
BenchmarkCollectorAllocationCases/logfmt_constants           	  160358	      1517 ns/op	  26.37 MB/s	    1552 B/op	      35 allocs/op
BenchmarkCollectorAllocationCases/raw_large                  	    5149	     44005 ns/op	1396.19 MB/s	  131812 B/op	      13 allocs/op
BenchmarkCollectorAllocationCases/raw_large                  	    5157	     43447 ns/op	1414.13 MB/s	  131812 B/op	      13 allocs/op
BenchmarkCollectorAllocationCases/raw_large                  	    4932	     43115 ns/op	1425.03 MB/s	  131812 B/op	      13 allocs/op
BenchmarkCollectorAllocationCases/access_plain               	  145166	      1631 ns/op	  57.64 MB/s	    2352 B/op	      46 allocs/op
BenchmarkCollectorAllocationCases/access_plain               	  145836	      1633 ns/op	  57.55 MB/s	    2352 B/op	      46 allocs/op
BenchmarkCollectorAllocationCases/access_plain               	  145857	      1640 ns/op	  57.32 MB/s	    2352 B/op	      46 allocs/op
BenchmarkCollectorAllocationCases/access_binary              	  146048	      1734 ns/op	  55.37 MB/s	    2440 B/op	      50 allocs/op
BenchmarkCollectorAllocationCases/access_binary              	  136196	      1725 ns/op	  55.65 MB/s	    2440 B/op	      50 allocs/op
BenchmarkCollectorAllocationCases/access_binary              	  136540	      1744 ns/op	  55.06 MB/s	    2440 B/op	      50 allocs/op
BenchmarkCollectorPatternAllocations/fields_1/bytes_32       	  472634	       463.1 ns/op	  69.09 MB/s	     764 B/op	      14 allocs/op
BenchmarkCollectorPatternAllocations/fields_1/bytes_32       	  520846	       452.0 ns/op	  70.80 MB/s	     764 B/op	      14 allocs/op
BenchmarkCollectorPatternAllocations/fields_1/bytes_32       	  523993	       453.4 ns/op	  70.58 MB/s	     764 B/op	      14 allocs/op
BenchmarkCollectorPatternAllocations/fields_5/bytes_32       	  274465	       890.8 ns/op	  35.92 MB/s	    1380 B/op	      26 allocs/op
BenchmarkCollectorPatternAllocations/fields_5/bytes_32       	  261942	       894.3 ns/op	  35.78 MB/s	    1380 B/op	      26 allocs/op
BenchmarkCollectorPatternAllocations/fields_5/bytes_32       	  268250	       891.8 ns/op	  35.88 MB/s	    1380 B/op	      26 allocs/op
BenchmarkCollectorPatternAllocations/fields_32/bytes_32      	   56716	      4326 ns/op	  43.00 MB/s	    6932 B/op	     107 allocs/op
BenchmarkCollectorPatternAllocations/fields_32/bytes_32      	   55522	      4336 ns/op	  42.90 MB/s	    6932 B/op	     107 allocs/op
BenchmarkCollectorPatternAllocations/fields_32/bytes_32      	   56366	      4346 ns/op	  42.80 MB/s	    6932 B/op	     107 allocs/op
BenchmarkCollectorPatternAllocations/fields_1024/bytes_32    	    1916	    127260 ns/op	  48.23 MB/s	  202516 B/op	    3083 allocs/op
BenchmarkCollectorPatternAllocations/fields_1024/bytes_32    	    1868	    126383 ns/op	  48.57 MB/s	  202516 B/op	    3083 allocs/op
BenchmarkCollectorPatternAllocations/fields_1024/bytes_32    	    1905	    127860 ns/op	  48.01 MB/s	  202516 B/op	    3083 allocs/op
BenchmarkCollectorPatternAllocations/fields_5/bytes_1048576  	     369	    657192 ns/op	1595.54 MB/s	 2098468 B/op	      26 allocs/op
BenchmarkCollectorPatternAllocations/fields_5/bytes_1048576  	     366	    648538 ns/op	1616.83 MB/s	 2098468 B/op	      26 allocs/op
BenchmarkCollectorPatternAllocations/fields_5/bytes_1048576  	     362	    649920 ns/op	1613.39 MB/s	 2098468 B/op	      26 allocs/op
PASS
